date,league,home_team,away_team,score
2013-08-09,Bundesliga,Bayern Munich,Gladbach,3–1
2013-08-10,Bundesliga,Hoffenheim,Nürnberg,2–2
2013-08-10,Bundesliga,Braunschweig,Werder Bremen,0–1
2013-08-10,Bundesliga,Hertha BSC,Eint Frankfurt,6–1
2013-08-10,Bundesliga,Hannover 96,Wolfsburg,2–0
2013-08-10,Bundesliga,Leverkusen,Freiburg,3–1
2013-08-10,Bundesliga,Augsburg,Dortmund,0–4
2013-08-11,Bundesliga,Mainz 05,Stuttgart,3–2
2013-08-11,Bundesliga,Schalke 04,Hamburger SV,3–3
2013-08-17,Bundesliga,Werder Bremen,Augsburg,1–0
2013-08-17,Bundesliga,Wolfsburg,Schalke 04,4–0
2013-08-17,Bundesliga,Hamburger SV,Hoffenheim,1–5
2013-08-17,Bundesliga,Stuttgart,Leverkusen,0–1
2013-08-17,Bundesliga,Freiburg,Mainz 05,1–2
2013-08-17,Bundesliga,Eint Frankfurt,Bayern Munich,0–1
2013-08-17,Bundesliga,Gladbach,Hannover 96,3–0
2013-08-18,Bundesliga,Dortmund,Braunschweig,2–1
2013-08-18,Bundesliga,Nürnberg,Hertha BSC,2–2
2013-08-23,Bundesliga,Dortmund,Werder Bremen,1–0
2013-08-24,Bundesliga,Leverkusen,Gladbach,4–2
2013-08-24,Bundesliga,Mainz 05,Wolfsburg,2–0
2013-08-24,Bundesliga,Bayern Munich,Nürnberg,2–0
2013-08-24,Bundesliga,Hannover 96,Schalke 04,2–1
2013-08-24,Bundesliga,Hoffenheim,Freiburg,3–3
2013-08-24,Bundesliga,Hertha BSC,Hamburger SV,1–0
2013-08-25,Bundesliga,Braunschweig,Eint Frankfurt,0–2
2013-08-25,Bundesliga,Augsburg,Stuttgart,2–1
2013-08-27,Bundesliga,Freiburg,Bayern Munich,1–1
2013-08-31,Bundesliga,Gladbach,Werder Bremen,4–1
2013-08-31,Bundesliga,Nürnberg,Augsburg,0–1
2013-08-31,Bundesliga,Schalke 04,Leverkusen,2–0
2013-08-31,Bundesliga,Hamburger SV,Braunschweig,4–0
2013-08-31,Bundesliga,Wolfsburg,Hertha BSC,2–0
2013-08-31,Bundesliga,Hannover 96,Mainz 05,4–1
